-0.400, -14.700, 1.300 0
-0.500, -15.200, 1.500 0
-0.600, -15.300, 1.900 0
-0.700, -15.500, 1.800 0
-0.300, -15.400, 2.300 0
-0.500, -15.300, 1.600 0
-0.500, -15.100, 1.900 0
2.900, -13.200, 2.100 0
2.800, -11.700, 3.200 0
2.700, -11.100, 3.500 0
3.700, -9.400, 2.900 0
3.900, -9.000, 3.100 0
3.800, -8.600, 2.800 0
4.300, -7.500, 2.900 0
5.400, -6.900, 2.700 0
5.600, -6.400, 2.400 0
6.000, -5.200, 2.800 0
6.300, -4.800, 2.500 0
7.100, -4.300, 2.400 0
7.000, -3.700, 1.700 0
7.500, -2.700, 1.500 0
8.200, -2.000, 1.600 0
8.500, -1.300, 1.800 0
8.300, -1.800, 2.000 0
8.700, -1.300, 2.300 0
9.500, 1.100, 2.000 0
10.100, 3.100, 2.000 0
10.900, 4.000, 1.800 0
11.700, 5.000, 2.000 0
12.100, 6.400, 2.100 0
11.800, 7.500, 1.800 0
12.700, 8.900, 1.900 0
13.200, 9.800, 1.700 0
13.800, 11.400, 1.900 0
14.900, 13.100, 1.800 0
14.100, 15.400, 1.400 0
18.500, 18.700, 2.100 0
19.600, 20.200, 1.800 0
20.900, 21.600, 2.000 0
22.100, 22.800, 2.100 0
23.000, 24.100, 2.000 0
24.100, 25.400, 2.200 0
25.700, 26.000, 0.300 0
26.800, 27.600, 1.000 0
27.200, 29.400, 1.800 0
29.100, 30.500, 1.000 0
30.400, 31.300, 0.300 0
31.100, 33.300, 0.700 0
31.600, 34.000, 0.200 0
34.700, 36.400, 1.300 0
36.800, 38.100, 2.500 0
36.800, 38.100, 2.500 0
36.800, 38.100, 2.500 0
