-0.200, -14.800, 1.400 0
-0.400, -15.300, 2.000 0
-0.400, -15.100, 1.900 0
-0.300, -15.200, 1.700 0
0.900, -12.900, 1.700 0
1.900, -11.900, 3.300 0
2.500, -11.200, 3.300 0
2.700, -10.300, 3.500 0
3.500, -10.000, 3.000 0
3.600, -9.700, 2.800 0
4.200, -9.400, 2.700 0
4.600, -8.300, 2.600 0
5.000, -6.900, 2.100 0
5.500, -6.500, 2.300 0
5.800, -5.900, 2.400 0
6.200, -5.200, 2.700 0
6.400, -4.700, 2.500 0
7.100, -4.400, 2.100 0
7.300, -3.200, 1.800 0
7.900, -2.800, 1.600 0
8.100, -2.000, 1.700 0
8.400, -2.100, 1.800 0
8.200, -2.600, 2.000 0
9.600, 1.800, 2.000 0
10.200, 2.700, 2.400 0
10.200, 3.300, 2.100 0
11.200, 4.300, 1.800 0
11.800, 5.500, 2.000 0
12.000, 6.600, 2.300 0
12.000, 7.500, 1.800 0
12.900, 9.000, 2.000 0
13.300, 10.000, 1.600 0
14.000, 11.900, 2.300 0
14.900, 13.600, 1.800 0
19.100, 18.900, 2.200 0
20.300, 20.300, 2.100 0
21.200, 21.900, 2.100 0
22.000, 23.000, 2.200 0
23.500, 24.400, 2.000 0
24.100, 26.000, 1.300 0
25.600, 27.000, 2.000 0
26.900, 28.200, 1.500 0
28.400, 29.300, 1.600 0
29.500, 30.500, 2.000 0
30.300, 32.000, 1.800 0
33.000, 34.000, 1.200 0
33.600, 35.900, 0.800 0
35.200, 36.800, 1.600 0
37.000, 37.800, 1.300 0
